,text,Category
79,"A person is pregnant. They are not prepared to raise a child, go through the adoption process, or otherwise just ha… https://t.co/XwUXPOz6qw",Pro-choice
80,"Women should not have to tell their bosses they are pregnant and need abortion travel money.

This is insane.",Pro-choice
81,"This decision will create the possibility of protecting human life from conception
　→この決定により、受胎から人間の生命を守る可能性が生まれます… https://t.co/aMLSN14c09",Pro-life
82,"To be frank, I don’t want to hear outrage about the overturning of Roe v. Wade, or about mass shootings and Congres… https://t.co/UlFWeKt7xl",Pro-choice
83,If you complain about your tax dollars going to welfare but also support the turning over of Roe V Wade then oh boy… https://t.co/vqlIKPQb4d,Pro-choice
84,The decision to overturn Roe v. Wade is a devastating attack on women's rights. The UK government cannot remain sil… https://t.co/xDn6vScreI,Pro-choice
85,@Ultii400 @ParmesanPinot @That_Haifisch @RicoSuaveJD @Pappiness Thank you for Trump! Thank you for fascism! Thank y… https://t.co/w515aRMBFZ,Pro-life
86,"@ZambranaML @GovWhitmer Yet, legal abortion procedures actually increased maternal mortality rates in the US by dou… https://t.co/qMLABx7KZW",Pro-life
87,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/U1B3RgGyGK,Pro-choice
88,"Hi

I'm a gay trans man

I can actually still get pregnant

Roe v Wade affects us, too, Winnie

Please for the love… https://t.co/MHF4qeOwif",Pro-choice
89,You can’t argue with these statistics! And you STILL want to bring children into this world?! SICK! Overturn the ov… https://t.co/HoBtCmnX0M,Pro-choice
90,Global Health Promise stands in solidarity with all folks whose reproductive rights are compromised by the overturn… https://t.co/vTlwYM0in1,Pro-choice
91,@nathaliejacoby1 Start phrasing this as the Right to Privacy. This is going to have far reaching ramifications than… https://t.co/pEAFzkTa2i,Pro-choice
92,"Protests in Chicago. Hang in there USA. Canada, don't get complacent. CON MPs eyeing overturning Roe v Wade as a ho… https://t.co/nvuMRVJri4",Pro-choice
93,"If you're a priest or a bishop and you have publicly praised the overturning of Roe vs Wade, thank you.",Pro-life
94,Abortion care is health care. https://t.co/PxiX3t5S4Z,Pro-choice
95,@roronoa_zoro007 Yeah it's upto the individual state has no business in restricting. Of course until 24 weeks becau… https://t.co/nBdD7PiBKx,Pro-choice
96,Men don’t need to get a vasectomy to be a woman’s ally. You can help women by protesting what’s going on with Roe v… https://t.co/totEOExT0w,Pro-choice
97,"@zychj @newsmax What made Roe vs Wade law of the land back then? Would you say, ""the opinions of Supreme Court justices""?",Pro-life
98,"@jedediahsays @or1ngi @LVJYLESBlAN @HaroldDiazRodr1 @chbupdates Nah I literaly just said that these example, for ex… https://t.co/sjomD9tyiA",Pro-choice
99,Hey just a thought: if you celebrated roe v. wade being overturned yesterday but you are not actively working towar… https://t.co/Bp83wlJjH3,Pro-choice
100,"Now that SCOTUS has overturned Roe v. Wade &amp; Miranda Rights, looks like the only right that’s safe is to have a tot… https://t.co/OyoaMt2CDo",Pro-choice
101,"If you’re a cis hetro man and feel like you’re not allowed to have an opinion on abortion, then on some level you k… https://t.co/ucJA1c2DxP",Pro-choice
102,Would be OK if it were seven extremists forcing their personal and religious views on the rest of us? Roe v Wade wa… https://t.co/80NBBy9EjF,Pro-life
103,The decision to overturn Roe v. Wade is a devastating attack on women's rights. The UK government cannot remain sil… https://t.co/lgAmzf2KLq,Pro-choice
104,I try to stay away from all things political but if you’re fucking pro life and happy about the roe v wade you can… https://t.co/DoFrbk4OoM,Pro-choice
105,@4HollyF @itsJeffTiedrich We live in New York State. If either of our adult daughters ever needed ton have an abort… https://t.co/VuVPrcWbZO,Pro-choice
106,"“Why are you trying to fight the roe v wade decision so much?”
Because it’s human rights. Not just for me, but for… https://t.co/w8qv5367z6",Pro-choice
107,"@Leerose1985 Wow if this is how they are reacting to Roe V. Wade being overturned … 

Wait until the midterms, this… https://t.co/lAtWHd4jKa",Pro-life
108,@theliamnissan I was watching Amanpour on PBS and her guest said that Repubs have been working on reversing Roe v W… https://t.co/xPL6ZO5Pq9,Pro-choice
109,@NickPye10 Accidents happen.  Not everyone who gets an abortion is irresponsible.,Pro-choice
110,"Yes.  This Boomer has voted Democrat in every election, other than for mayor in a city I no longer live in.  I have… https://t.co/XL0xrnS9cd",Pro-choice
111,@duchessofdis @jabooka13 But what the right is doing to humanity &amp; democracy is so much more than just abortion - t… https://t.co/mzFg4pm0ez,Pro-choice
112,i had an abortion at 19. i didn’t tell my abusive boyfriend. i’m now 22 and no longer with him. if i had CHOSEN to… https://t.co/Tkmf9VXXrg,Pro-choice
113,Asking what my company is doing to help women who need access to the appropriate healthcare regarding yesterday’s R… https://t.co/rduaqr9MjQ,Pro-choice
114,"@frankcorder @S51781902 @Apple @DICKS I have a prediction. 
About the time the same women come to them for travel e… https://t.co/GtayrlIkms",Pro-life
115,The late actor's 23-year-old daughter is just one of many women to speak out about yesterday's decision. https://t.co/x1pdB2pvyK,Pro-choice
116,"No, Trump, God Didn't Overturn Roe v. Wade || By Ed Kilgore https://t.co/1FABXw51ws",Pro-choice
117,Find it fascinating Trump appointed the justices who exposed Roe v Wade as the sham it was for fifty years and it h… https://t.co/nPNLVig4AX,Pro-life
118,"If you support the overturning of Roe v. Wade, kindly get off of my page. The right for those with uteruses to have… https://t.co/PVcyT7X67m",Pro-choice
119,"Wait, so SCOTUS overturning roe v wade is attacking women’s rights? I thought women couldn’t be defined by anatomy?… https://t.co/Ig2di8dEtt",Pro-life
120,"@DannieD01 Devastated, gutted, sad, disgusted! I’m 74 and lived through pre &amp; post Roe v Wade…and fought for rights… https://t.co/Be838965WR",Pro-choice
121,@libsoftiktok That's so worth it! Let's have a Roe V Wade announcement every few days!,Pro-life
122,@RehearsalLot @CRYPTONITEME @Reuters Here’s truth. Women are not going back. Period. We have records of abortion ba… https://t.co/GjrOLoJPZz,Pro-choice
123,Glastonbury artists hit out at Roe vs Wade overturning by Supreme Court https://t.co/YCcPBoSyWg,Pro-choice
124,"@jakob_eichhorn @ELINTNews They’re not openly defying anything. They follow federal laws, and there is no federal law banning abortion.",Pro-choice
125,there’s so many things i wanna say about roe v wade but i can’t even put anything into words because it angers me so much,Pro-choice
126,"@MayoIsSpicyy Have zero respect for any woman that does not vote on their state to repeal last scotus stay, as male… https://t.co/VJfYAdFoBG",Pro-choice
127,EVERYONE should be FURIOUS at the overturn of Roe vs Wade. EVERYONE SHOULD BE ANGRY.,Pro-choice
128,@bananagirl925 @ranaltboo abortion is not a political issue. it is simply about human decency. i agree that nobody… https://t.co/2f1434RkLp,Pro-choice
129,"@RelentlessYapp @ZaidJilani But it can give you a Dem governor to veto bad GOP-led state legislative laws, or pardo… https://t.co/gIWyUAh8Yh",Pro-choice
130,@dramadelinquent My take is abortion should be allowed only under circumstances that are traumatising as rape or if… https://t.co/e5IWtqb7hh,Pro-choice
131,Do you know that young ladies are doing it secretly and also getting away with it here while some die in the proces… https://t.co/GkLRqvpth8,Pro-choice
132,@BNNBreaking This push wanting to keep abortion says more about what they are not saying now,Pro-life
133,Disney was nothing but a Façade.  We’re seeing their true selves.  They stand against parents rights and now stand… https://t.co/N3V8F1PR8N,Pro-life
134,"Just heard about Roe V Wade 😔 that’s messed up (I’m single, well dressed, and have a vasectomy btw)",Pro-choice
135,https://t.co/2vL1gxc3P3,Pro-choice
136,"Trust God, President Joe Biden, trust Abba! The judges that voted to overturn Roe vs Wade, were obeying the voice o… https://t.co/9ArHovcy7f",Pro-life
137,This Supreme Court overturning Roe v. Wade have now shown their preference for the version of the Constitution and… https://t.co/8MKZ3bQ7TM,Pro-choice
138,"@mtracey No, they ban abortion on demand. In practice you can still get an abortion pretty easily into the 2nd trim… https://t.co/4odUuFeNd9",Pro-choice
139,@ErikNervik @fawlty @Timcast There you go. All the headers (even though you won’t comprehend it). You’re wrong here… https://t.co/hH1PKxCOF9,Pro-choice
140,okay ik that i often don’t get political on this acc but with the recent events (roe v wade). i’m genuine scared fo… https://t.co/OJVw9I9VgR,Pro-choice
141,"@carlycross_ Are you really this lost? Roe vs Wade was bad law doesn't matter if it stood for 50 years, Same as Ple… https://t.co/0aq8CcTG8R",Pro-choice
142,@JoJoFromJerz True. I'm thinking that we could help this travesty by : you know how you can pre-psy for a cup of co… https://t.co/s7IEckGvLu,Pro-choice
143,@ericswalwell The only reason abortion rights were so low on public voting priority lists was because the public ha… https://t.co/oDxttDFwzY,Pro-choice
144,Love the Roe V Wade  decision. Now maybe all you abortionist will move back to your home state and let Texas respect and enjoy life.,Pro-life
145,@ananavarro would rid the world of special needs kids by using late term abortions and post birth abortions!!!… https://t.co/cV619omGlm,Pro-life
146,"@PerlmanJanine @AshleiKing Lolol so glad somebody finally fact checked me! But you know what, it worked cause @cnn… https://t.co/3tQn0NgkKT",Pro-choice
147,When a woman gets an abortion she is showered with love by so many and called “brave” but when a dude doesn’t want… https://t.co/nSfliSBqac,Pro-life
148,@CathyPe63220996 @BeverleeMascio2 @RonnyJacksonTX The difference is literally that the baby was born. The fetus in… https://t.co/jqtBpAOub5,Pro-choice
149,Still think Trump was the best president?  3 of these people in the majority were appointed by Trump. All of them s… https://t.co/Vnu0BBwt2V,Pro-choice
150,"@B52Malmet @Hefner_Online This will void the HIPPA laws. 
HIPPA was based on Roe v. Wade
America is NOT FREE",Pro-choice
151,Obama once said it was his #1 priority. Joe Biden promised to codify Roe v Wade as a campaign promise. Why haven't… https://t.co/5oBoLGKB7S,Pro-choice
152,every male comedian today is starting their set with “so roe v wade got overturned :/ bummer :/“ like go rot please,Pro-choice
153,call me dramatic but I have absolutely no interest in going to arizona right now(or any fucking state restricting a… https://t.co/iLRif9RKZP,Pro-choice
154,"This Roe vs. Wade news is completely messed up. I don't have anything clever to say about it. It's just wrong, and I'm livid.",Pro-choice
155,"Roe v Wade overturning WILL kill people.

People will murder people that they accidentally got pregnant. 

People w… https://t.co/HoxwNIcBHo",Pro-choice
156,"People can no longer afford to LIVE, a woman could get r—ped and would be JAILED if she got an abortion, we’re faci… https://t.co/4nNJqKSa2P",Pro-choice
157,"@Kevin5740Arnold @wildflower2101 @selenagomez We are paying for the abortion. And, if we let everyone do their own… https://t.co/qfxGV7a5pu",Pro-life
158,"@AerisFelidae You're right and I should definitely make more of an effort there
I think Roe vs Wade has just been s… https://t.co/cXaA2VNL9j",Pro-choice
159,@byron_nichols @BNNBreaking @patagonia Stay in your own religious lane and get out of mine with your swill. My reli… https://t.co/FNZEFbeRbo,Pro-choice
160,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/JxTO2IRJEC,Pro-choice
161,@lennysperson @boudicca_iceni @TheAmandaGorman My point was that no one should be told what to do with their bodies… https://t.co/wqNUcm2t1q,Pro-choice
162,"@colinstone To all the young women out down south, educate yourself about human reproductive system, how it works,… https://t.co/NCwRJfAt8e",Pro-life
163,@rachelkayw @ClaudetteGGibs1 Minnesota…everyone always seems to forget Minnesota.  Add it to the the list as it’s l… https://t.co/UesVPyyzRr,Pro-choice
164,"@michaelmalice They need more minions. China has 1.4 bi and incentives 3 kids per family now... So, no abortion in… https://t.co/yxkktzBIl4",Pro-choice
165,@TomFitton @BarackObama How many decades of precedence preceded the unconstitutional ruling for Roe vs Wade?,Pro-life
166,"@Robbyboy_4life @Reddrik @EitoDorito @markiplier Same argument that civil war apologists give about ""state rights""… https://t.co/x8JHM0d7ar",Pro-choice
167,If you're a woman complaining about this roe v Wade decision. And you voted Republican for Trump in 2016 then this is your fault.,Pro-choice
168,"Republicans made the last mistake they will ever make in any position of federal authority ever again.

We are goin… https://t.co/w7JVnQ1TeB",Pro-choice
169,going around saying women should close their legs as if men have ever shown MORE self restraint ever in history ove… https://t.co/nn9rOdYOt1,Pro-choice
170,"@loooolooo @shitemanes @christo56849068 @TyTheFisch who decides if it is appropriate legal route?
Again, with this… https://t.co/Z76qCuPbDr",Pro-choice
171,I know that it's a scary time rn but I'm begging yall to check local news sources before saying a state doesnt have… https://t.co/zqPQlat2eu,Pro-choice
172,@TimG90730962 @nonyabi88117386 @username198653 @ckh82003 @Cyderisdead @MostlyPeacefull @GovWhitmer You only have th… https://t.co/9JBOPSE5OU,Pro-choice
173,"We live in a world where the man can abandon the mother of his child. AND then they make abortions illegal!
Basical… https://t.co/LgF6UsNDst",Pro-choice
174,"@thunderrosa22 You know birth control exists... right? Moral of the story is ""MAKE BETTER VAGINAL DECISIONS and YOU… https://t.co/YM7YQv6fgK",Pro-life
175,@RinainDC @SenatorBigBird So what are you going to do to ensure that Roe vs Wade is codified as law?,Pro-choice
176,"if you are in any way pro-choice or believe that roe v wade being overturned is a bad thing, my work is not for you… https://t.co/x85CpBMqp4",Pro-life
177,"Supreme Court overturns Roe v. Wade, ending right to abortion upheld for decades!!!!! #RoeVsWade… https://t.co/dAUkOVol1a",Pro-choice
178,"I’ve paid out over a half million dollars in child support. 🐺🤦🏻‍♂️
And I still love all my kids.

I don’t support l… https://t.co/4hvVt6DeEw",Pro-life
179,@EmmanuelMacron I don't agree with you Mr President really if women don't want to have children they can use contra… https://t.co/EXE62hpefT,Pro-life
180,"NBCNews: A Florida man was taken into custody after he scaled the Frederick Douglass Memorial Bridge in Washington,… https://t.co/zIG5cIHRdy",Pro-choice
181,"@therealcliffyb We already know the other side is willing to cheat, attack voting rights, accept foreign bribes, so… https://t.co/UJIAfM55gi",Pro-choice
182,@GerryBorn Dallas is out of control! They had a speaker say that they have to protect the right of abortion for tra… https://t.co/Dra9DGI11A,Pro-life
183,@TristanSnell The constitution was written in the 1780s. It doesn’t mention a lot of things. Abortion was legal when it was written,Pro-choice
184,stav not being on cum town roe v wade getting overturned work sucks there is literally zero coming up milhouse it’s over,Pro-choice
185,"Now that there are morning after pills, isn't abortion sort of antiquated anyway?",Pro-life
186,@HC_Richardson @kenolin1 So capturing and returning a pregnant woman from the South who is seeking an abortion in I… https://t.co/JfVECHjqQp,Pro-choice
187,literally fuck Obama and Biden for not codifying Roe V Wade. Both of their old useless asses made it part of their… https://t.co/yE5KL45okr,Pro-choice
188,"I’m tempted to write a theological defense of Roe v. Wade since all its religious defenders, including bishops &amp; ch… https://t.co/Ca1SuTVJxZ",Pro-choice
189,"It comes to my deep regret that the U.S. Supreme court has made such a blatantly biased, misogynistic, and dangerou… https://t.co/4dkhZkp5kE",Pro-choice
190,"@XDLaughingMan @Terios1996 @DinoSoccer @PragmatistProf @kirstenappleton Actually it does. “Life, Liberty and the pu… https://t.co/d8YeBVPIN3",Pro-choice
191,"@MattMurchison FACT: If Hillary Clinton hadn't run against Bernie Sanders in 2016, abortion rights would be safe to… https://t.co/Phg2HbyFlD",Pro-choice
192,@theylikeadam fuck abortion  unless she is a rape victim,Pro-life
193,@candylamb47 @BMTHfan92 @DaveYostOH @GovMikeDeWine Plus roe vs wade was 1973 there all much alive still,Pro-choice
194,The first amendment protects us from becoming a country ruled by religious doctrine. The SCOTUS is in violation of… https://t.co/GmKJlZW1T5,Pro-choice
195,"Defense Department to keep access to ""reproductive health care"" after Roe v. Wade's end https://t.co/69V6o9yslA",Pro-choice
196,I know there are Dems who don’t want to acknowledge this: Had we shown up at the polls the way we’re showing up at… https://t.co/dUte62uDZz,Pro-choice
197,@karyn628 @Erin35416421 American children will be most deeply affected by the overturning of Roe v Wade. Nobody win… https://t.co/Jve8JBqNas,Pro-choice
198,This is what I don't understand. Some people aren't realizing that Roe V. Wade isn't just a cis woman's problem. Th… https://t.co/miCqRjaYQ4,Pro-choice
199,"@thebiggtc @MLB Your gif game is terrible, but you're a great poster-child for why Roe v Wade should've been upheld.",Pro-choice
200,these 3 senators are experienced pols who should by now know how to read between the lines in statements people mak… https://t.co/e7NMu2kzrx,Pro-choice
201,"fb friend went off on me when the draft leaked for suggesting ""pro choice"" people were way more ready to help peopl… https://t.co/g8cxGUDizO",Pro-life
202,@KathrynRimming1 Apparently at least two Tories have already tweeted their agreement with the decision of the US su… https://t.co/7NyrgMDsq9,Pro-choice
203,@maycordo @ElGeramg @StephhasADHD @TiqueRedtail @LordgrimOz @sebtownpatti @AOC Or maybe it’s contraceptive failure… https://t.co/xKpfFHzgH3,Pro-choice
204,@AndyKimNJ As a Canadian🇨🇦 &amp; a Woman…I cried when I heard the News of the Reversal of Roe vs Wade! How barbaric &amp; s… https://t.co/bmHyDnWh7q,Pro-choice
205,"@KristinAGroh2 @Mindcite_US @rn_wing My WA gov is also keeping abortion safe, but that does not help protect my fel… https://t.co/2PVJXxbYYO",Pro-choice
206,"We support equal rights for all and a Woman's right to choose!!! Please sign to voice your support. 

Roe v. Wade h… https://t.co/ma9OTerIxi",Pro-choice
207,"Los Angeles Lakers star LeBron James tweeted that the Supreme Court's overturning of Roe V. Wade was ""absolutely ab… https://t.co/snS6GIjlIs",Pro-choice
208,I AM ASHAMED OF AMERICA AND WILL LEAVE IT ASAP! https://t.co/ZTXAn1YTir,Pro-choice
209,"@Evangelicals I guess you also forgot about, ""Judge NOT or YEA SHALL BE JUDGED! The death of women who badly need t… https://t.co/KO8OXpqw5q",Pro-choice
210,"The drop in crime in the 90s was not from militarizing police, the war drugs, or broken window policing. A large pa… https://t.co/p6nMYCmOzy",Pro-choice
211,"Ah, yes, UK TERF feminists have found the real culprit behind a decades-long campaign from the Christian right to o… https://t.co/nWjtjI8KL6",Pro-choice
212,The six conservatives on the Supreme Court will go as far back as they have to—to the 13th century even—to peel awa… https://t.co/TrQ68Pbg9F,Pro-choice
213,"Solution: Give Texas back to Mexico where abortion is legal. DC, Puerto Rico, and Guam become US States. Republican… https://t.co/JZ3fHEW8Wx",Pro-choice
214,The Cleave supports a woman's right to choose and we stand with the millions of people whose lives are affected by… https://t.co/i3Z9V5dS5L,Pro-choice
215,@dr_ryan76 @JeremiahDaws Rape and incest made up about 5-10% of all of unplanned pregnancies. Certainly you aren’t… https://t.co/Ktm48vYq4t,Pro-life
