,Unnamed: 0,text,Category,score
19,19,"@DrDebraSoh Oh naff off

 Trans hostile people cosying up to conservative Christians against trans folk instead of… https://t.co/ctHZVvR8ft",Pro-choice,0.44515830278396606
20,20,I Am very disappointed that the court over turned the case of roe v wade and that they didn’t keep certain pertecti… https://t.co/7QJwcBu1E1,Pro-choice,0.31099453568458557
21,21,"cause to benefit those that have no way of refusing her imposition. 
#ElVioladorEresTú! 

""come November, 86 state… https://t.co/TQfsVipkH4",Pro-choice,0.15870265662670135
22,22,"good morning, the supreme court overturning roe v wade is literally unconstitutional",Pro-choice,0.3927902579307556
23,23,CNMA is grieving with millions of you today at the loss of our constitutionally recognized right to abortion with t… https://t.co/Ej1nw5JfnS,Pro-choice,0.48246830701828003
24,24,@bingus_the_cat_ @Timcast There is NO Constitutional guarantee for abortion or any other form of murder !!!!! Roe v… https://t.co/4F8FLLMhem,Pro-life,0.818539559841156
25,25,"Most Americans favor keeping Roe v Wade.

But the unaccountable sponsors of #TeamCoup have cheated and bought their… https://t.co/6ZE81vRGJL",Pro-choice,0.460492342710495
26,26,"If you think that the supreme court overturning Roe vs Wade is a good thing and you are celebrating, never speak to me again!!👍",Pro-choice,0.5335155725479126
27,27,"Excited to share this item from my #etsy shop: No Country for Old Men Shirt, Pro Choice Shirt, Ruth Bader Ginsburg… https://t.co/mst5EHPK6n",Pro-choice,0.379149854183197
28,28,@ChrisMurphyCT Why didn't you demand Roe v Wade be made law?,Pro-choice,0.820525586605072
29,29,"It's so obvious that anti-abortion chuds strive to make people's lives worse, since Roe v Wade never took options a… https://t.co/sypo4FnItr",Pro-choice,0.5574920177459717
30,30,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/Bu6LWMrsXb,Pro-choice,0.6362609267234802
31,31,Another thing that pisses me off about everything going on is y’all thought one election was it. Fam. Republicans h… https://t.co/2kNGXmCBc3,Pro-choice,0.22750653326511383
32,32,"@McFaul Protector of the free world, but sadly it doesn't belong to.

And not only because of Roe v Wade.",Pro-choice,0.6681130528450012
33,33,Opinion | The incredible hypocrisy of Christian 'religious freedom' rhetoric after Roe https://t.co/Izrnc3SdBk via @msnbc,Pro-choice,0.1864587664604187
34,34,"@Duckypam @SenatorWarnock Then think about this:
Two known sex offenders overturned Roe vs. Wade. Let that sink in.",Pro-choice,0.531909704208374
35,35,Roe v. Wade is Gone. We Must Demand the U.S. Congress Pass Protections for Reproductive Rights Now! https://t.co/HrJoJ8o6O0,Pro-choice,0.3474840223789215
36,36,"anyone who supports the overturned roe v wade is absolute disgrace to the Constitution

you know damn well you don’… https://t.co/76pb3ovnat",Pro-choice,0.6519581079483032
37,37,China having abortion doesn’t magically make them better than us like the camps and other human rights violations d… https://t.co/UE9xpOKyEu,Pro-choice,0.514799177646637
38,38,"The people calling for folks to be civil in their abortion discourse are how we got here.

No.

My body. Piss off.",Pro-choice,0.30857205390930176
39,39,63 percent of the American population supports Roe V Wade (the majority)! While 5 justices voted to overturn Roe! U… https://t.co/BfvzyWVft8,Pro-choice,0.5399385690689087
40,40,"@SMBWhitney @BarackObama Its funny you bring up Ginsberg, she stated many times Roe vs Wade was bad law.",Pro-life,0.8086653351783752
41,41,"@bluekat323 @leighmatsell @caambers @Robthefrosty @Sparkle31888597 The ""domestic terrorism"" is happening RIGHT NOW… https://t.co/THft1peY8s",Pro-life,0.230202317237854
42,42,How you gonna let sex offenders overturn Roe v Wade? #SCOTUS,Pro-choice,0.4654693901538849
43,43,There’s about to be a lotion shortage. The flip side of overturning Roe v. Wade is now women will not have sex with… https://t.co/4QuF1h7l7Y,Pro-choice,0.5119563341140747
44,44,The US Supreme Court washed their hands off the abortion issue like Pontius Pilate and gave States the responsibili… https://t.co/raWfjP0lO3,Pro-choice,0.34128648042678833
45,45,The folks who are ecstatic about Roe v Wade being overturned have been oddly quiet about Ukrainian babies/children… https://t.co/3E042nr9og,Pro-choice,0.8298240303993225
46,46,"Roe v. Wade shows the importance of voting and why you should never ""sit this one out"". People said there's no diff… https://t.co/eJ9ehMSsyW",Pro-choice,0.5217018723487854
47,47,"As other states ban abortion, CT gears up for an influx of patients. Because in CT Women Matter!! https://t.co/coe44N17Ir",Pro-choice,0.14654964208602905
48,48,"@baseball99 @BarackObama The reason Roe V Wade was struck down is that these justices believe, religiously, that th… https://t.co/TdXMex9OiL",Pro-choice,0.6683287620544434
49,49,@POTUS Abortion is murder,Pro-life,0.6414329409599304
50,50,We just repealed Roe v. Wade and my Senator is posting on main about wanting to bring back segregation. https://t.co/v25E0dl6eX,Pro-choice,0.37743332982063293
51,51,"@JustOneVoice68 @V1s1D @Gatros27 @darugona_ ""Overturning Roe v. Wade could have implications for more than access t… https://t.co/wankiSJ97G",Pro-choice,0.16537053883075714
52,52,@LilTeamkimlisa @GavinNewsom It isn't a law. Abortion is not a constitutional right,Pro-life,0.7053807377815247
53,53,@SueZieCue So you should still be against Roe v. Wade because clearly there’s nothing in the constitution to suppor… https://t.co/eNIJPb30e6,Pro-choice,0.7353434562683105
54,54,if people think that women are angry about roe v wade because they want to “kill babies”…. crack open a fucking book,Pro-choice,0.6295327544212341
55,55,@POTUS A constitutional amendment to put roe vs Wade into the Constitution. All we need is 2/3 of the Senate and 2/… https://t.co/2HXdMqWve4,Pro-choice,0.4188096523284912
56,56,Democrats have reneged on their longtime promise to codify Roe v. Wade every time they’ve held power. Party leaders… https://t.co/fNyO6X7rwt,Pro-choice,0.5378232598304749
57,57,I had a miserable pregnancy and I would seriously rather risk death than ever be pregnant again. I love my child en… https://t.co/V3GZKr2mD9,Pro-choice,0.1782611906528473
58,58,"@djrothkopf In addition to the overturning of #Roe v Wade, do you mean a President (#Trump) saying to his Departmen… https://t.co/oqmNhYhH7l",Pro-choice,0.42990201711654663
59,59,@eire175 @idyllchatter @go_figureitout @kylegriffin1 Politicians on both sides don't work for the people..they work… https://t.co/bHCUOz6quI,Pro-life,0.6841925382614136
60,60,@SpeakerPelosi taking advantage to ask for fundraising money + my vote to fix the Roe v Wade mess. I already voted… https://t.co/W3lXj5OaOn,Pro-choice,0.16844096779823303
61,61,@Lindaloverlips @Strandjunker @TheJohnDiMaggio No one is “for abortion.” Those who support Roe v. Wade believe a wo… https://t.co/T6haPc0Juk,Pro-choice,0.636867880821228
62,62,@LiberalsTDS2020 @JoJoFromJerz You’re also a perfect example of why they should never have overturned Roe vs Wade.,Pro-choice,0.7347243428230286
63,63,"@Christo36805226 @JillFilipovic Speaking of ignorance, did you even bother checking out the other state's rulings?… https://t.co/dDE6K62tFf",Pro-choice,0.49758589267730713
64,64,"@amyklobuchar Wouldn't birth control be easier &amp; even cheaper? Oh yeah, you're complicit in using abortion as a for… https://t.co/QLNxFk1UMV",Pro-life,0.7563714981079102
65,65,"Quick reminder... Obumer put Roe v Wade on the back burner in 2009, pretty much the way the Dems have done since 74.",Pro-choice,0.4852985441684723
66,66,"Hey ladies in favor of roe v wade. I just want you to put into perspective, if you were raped by any man, and he ca… https://t.co/9w8Q7qSKQ3",Pro-choice,0.18074773252010345
67,67,"Thank you ⁦@JayInslee⁩, ⁦@GavinNewsom⁩, ⁦@OregonGovBrown⁩

Next steps for Washington, Oregon, California after Roe… https://t.co/wDdzzKpOlp",Pro-choice,0.6880123615264893
68,68,@OttawaCitizen @CBCOttawa @drakefenton @Marco_Vigliotti @_MarkSutcliffe @JimWatsonOttawa @JonathanWilling if u took… https://t.co/50YmlyzUwt,Pro-choice,0.24315573275089264
69,69,@thatoneguy_jm It's like no one reads that 70% of people were in favor of Roe v Wade and wanted it codified. You're… https://t.co/G6dXyWpwwg,Pro-choice,0.5793555378913879
70,70,I hope someday people will understand what roe v wade oveturned actually does. Strong support for the overturned ruling,Pro-life,0.6962016820907593
71,71,"@____sassycassie @AdamRintala I feel your pain Cassie, having lived in the  pre Roe v. Wade era, it’s a major step… https://t.co/u1rELjQJvj",Pro-choice,0.44033390283584595
72,72,"Vancouver Pro-Choice Rally Tomorrow
https://t.co/hwgNEvk1CR

Stand in rage &amp; solidarity with our siblings across th… https://t.co/K4LARZk59m",Pro-choice,0.25290191173553467
73,73,"@charliekirk11 Your ""God"" has killed more babies than abortion has",Pro-choice,0.8926730155944824
74,74,I’m not surprised at the old wrinkled saggy balls having a$$ men who voted to overturn Roe vs Wade but Justice Amy… https://t.co/9eGRfqcSLp,Pro-choice,0.3374175727367401
75,75,him. You think this is something? You think this is bad? This? This chicanery? He's done worse. Roe v Wade! Are you… https://t.co/NhUpetB7DW,Pro-choice,0.4366724491119385
76,76,"@DavidAFrench Yeaaaaah, didn’t they also say that Roe v Wade was settled law and precedent? So we should trust them… https://t.co/lPxyLMov0a",Pro-choice,0.18136902153491974
77,77,OMG as if the LBGTQXyzabcdsd  can’t spew enough BS already there new mantra now since Roe V Wade was turned back ri… https://t.co/cbzJNOzesy,Pro-life,0.5659300684928894
78,78,"I’ve been too shocked and too angry at the Roe Vs Wade ruling to even know where to start and what to say

This lad… https://t.co/J6poxhTF9l",Pro-choice,0.4512679874897003
79,79,"A person is pregnant. They are not prepared to raise a child, go through the adoption process, or otherwise just ha… https://t.co/XwUXPOz6qw",Pro-choice,0.3927210569381714
80,80,"Women should not have to tell their bosses they are pregnant and need abortion travel money.

This is insane.",Pro-choice,0.15631210803985596
81,81,"This decision will create the possibility of protecting human life from conception
　→この決定により、受胎から人間の生命を守る可能性が生まれます… https://t.co/aMLSN14c09",Pro-life,0.5730379819869995
82,82,"To be frank, I don’t want to hear outrage about the overturning of Roe v. Wade, or about mass shootings and Congres… https://t.co/UlFWeKt7xl",Pro-choice,0.32112106680870056
83,83,If you complain about your tax dollars going to welfare but also support the turning over of Roe V Wade then oh boy… https://t.co/vqlIKPQb4d,Pro-choice,0.40408405661582947
84,84,The decision to overturn Roe v. Wade is a devastating attack on women's rights. The UK government cannot remain sil… https://t.co/xDn6vScreI,Pro-choice,0.21772035956382751
85,85,@Ultii400 @ParmesanPinot @That_Haifisch @RicoSuaveJD @Pappiness Thank you for Trump! Thank you for fascism! Thank y… https://t.co/w515aRMBFZ,Pro-life,0.4667920768260956
86,86,"@ZambranaML @GovWhitmer Yet, legal abortion procedures actually increased maternal mortality rates in the US by dou… https://t.co/qMLABx7KZW",Pro-life,0.25076404213905334
87,87,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/U1B3RgGyGK,Pro-choice,0.6362609267234802
88,88,"Hi

I'm a gay trans man

I can actually still get pregnant

Roe v Wade affects us, too, Winnie

Please for the love… https://t.co/MHF4qeOwif",Pro-choice,0.1938631534576416
89,89,You can’t argue with these statistics! And you STILL want to bring children into this world?! SICK! Overturn the ov… https://t.co/HoBtCmnX0M,Pro-choice,0.7254114747047424
90,90,Global Health Promise stands in solidarity with all folks whose reproductive rights are compromised by the overturn… https://t.co/vTlwYM0in1,Pro-choice,0.17587096989154816
91,91,@nathaliejacoby1 Start phrasing this as the Right to Privacy. This is going to have far reaching ramifications than… https://t.co/pEAFzkTa2i,Pro-choice,0.19958992302417755
92,92,"Protests in Chicago. Hang in there USA. Canada, don't get complacent. CON MPs eyeing overturning Roe v Wade as a ho… https://t.co/nvuMRVJri4",Pro-choice,0.40040773153305054
93,93,"If you're a priest or a bishop and you have publicly praised the overturning of Roe vs Wade, thank you.",Pro-life,0.6292006373405457
94,94,Abortion care is health care. https://t.co/PxiX3t5S4Z,Pro-choice,0.2069966048002243
95,95,@roronoa_zoro007 Yeah it's upto the individual state has no business in restricting. Of course until 24 weeks becau… https://t.co/nBdD7PiBKx,Pro-choice,0.43641209602355957
96,96,Men don’t need to get a vasectomy to be a woman’s ally. You can help women by protesting what’s going on with Roe v… https://t.co/totEOExT0w,Pro-choice,0.5184734463691711
97,97,"@zychj @newsmax What made Roe vs Wade law of the land back then? Would you say, ""the opinions of Supreme Court justices""?",Pro-life,0.25747236609458923
98,98,"@jedediahsays @or1ngi @LVJYLESBlAN @HaroldDiazRodr1 @chbupdates Nah I literaly just said that these example, for ex… https://t.co/sjomD9tyiA",Pro-choice,0.36361080408096313
99,99,Hey just a thought: if you celebrated roe v. wade being overturned yesterday but you are not actively working towar… https://t.co/Bp83wlJjH3,Pro-choice,0.18782490491867065
100,100,"Now that SCOTUS has overturned Roe v. Wade &amp; Miranda Rights, looks like the only right that’s safe is to have a tot… https://t.co/OyoaMt2CDo",Pro-choice,0.2687627375125885
101,101,"If you’re a cis hetro man and feel like you’re not allowed to have an opinion on abortion, then on some level you k… https://t.co/ucJA1c2DxP",Pro-choice,0.2582278847694397
102,102,Would be OK if it were seven extremists forcing their personal and religious views on the rest of us? Roe v Wade wa… https://t.co/80NBBy9EjF,Pro-life,0.2122441530227661
103,103,The decision to overturn Roe v. Wade is a devastating attack on women's rights. The UK government cannot remain sil… https://t.co/lgAmzf2KLq,Pro-choice,0.21772035956382751
104,104,I try to stay away from all things political but if you’re fucking pro life and happy about the roe v wade you can… https://t.co/DoFrbk4OoM,Pro-choice,0.38378673791885376
105,105,@4HollyF @itsJeffTiedrich We live in New York State. If either of our adult daughters ever needed ton have an abort… https://t.co/VuVPrcWbZO,Pro-choice,0.4278198480606079
106,106,"“Why are you trying to fight the roe v wade decision so much?”
Because it’s human rights. Not just for me, but for… https://t.co/w8qv5367z6",Pro-choice,0.2438177466392517
107,107,"@Leerose1985 Wow if this is how they are reacting to Roe V. Wade being overturned … 

Wait until the midterms, this… https://t.co/lAtWHd4jKa",Pro-life,0.5338547229766846
108,108,@theliamnissan I was watching Amanpour on PBS and her guest said that Repubs have been working on reversing Roe v W… https://t.co/xPL6ZO5Pq9,Pro-choice,0.28707030415534973
109,109,@NickPye10 Accidents happen.  Not everyone who gets an abortion is irresponsible.,Pro-choice,0.3059265911579132
110,110,"Yes.  This Boomer has voted Democrat in every election, other than for mayor in a city I no longer live in.  I have… https://t.co/XL0xrnS9cd",Pro-choice,0.5154910087585449
111,111,@duchessofdis @jabooka13 But what the right is doing to humanity &amp; democracy is so much more than just abortion - t… https://t.co/mzFg4pm0ez,Pro-choice,0.5369454026222229
112,112,i had an abortion at 19. i didn’t tell my abusive boyfriend. i’m now 22 and no longer with him. if i had CHOSEN to… https://t.co/Tkmf9VXXrg,Pro-choice,0.12530995905399323
113,113,Asking what my company is doing to help women who need access to the appropriate healthcare regarding yesterday’s R… https://t.co/rduaqr9MjQ,Pro-choice,0.1342018097639084
114,114,"@frankcorder @S51781902 @Apple @DICKS I have a prediction. 
About the time the same women come to them for travel e… https://t.co/GtayrlIkms",Pro-life,0.15419885516166687
115,115,The late actor's 23-year-old daughter is just one of many women to speak out about yesterday's decision. https://t.co/x1pdB2pvyK,Pro-choice,0.6493625044822693
116,116,"No, Trump, God Didn't Overturn Roe v. Wade || By Ed Kilgore https://t.co/1FABXw51ws",Pro-choice,0.7817682027816772
117,117,Find it fascinating Trump appointed the justices who exposed Roe v Wade as the sham it was for fifty years and it h… https://t.co/nPNLVig4AX,Pro-life,0.4358746409416199
118,118,"If you support the overturning of Roe v. Wade, kindly get off of my page. The right for those with uteruses to have… https://t.co/PVcyT7X67m",Pro-choice,0.4948715567588806
119,119,"Wait, so SCOTUS overturning roe v wade is attacking women’s rights? I thought women couldn’t be defined by anatomy?… https://t.co/Ig2di8dEtt",Pro-life,0.19789919257164001
120,120,"@DannieD01 Devastated, gutted, sad, disgusted! I’m 74 and lived through pre &amp; post Roe v Wade…and fought for rights… https://t.co/Be838965WR",Pro-choice,0.16406643390655518
121,121,@libsoftiktok That's so worth it! Let's have a Roe V Wade announcement every few days!,Pro-life,0.7014472484588623
122,122,@RehearsalLot @CRYPTONITEME @Reuters Here’s truth. Women are not going back. Period. We have records of abortion ba… https://t.co/GjrOLoJPZz,Pro-choice,0.39636853337287903
123,123,Glastonbury artists hit out at Roe vs Wade overturning by Supreme Court https://t.co/YCcPBoSyWg,Pro-choice,0.3164266347885132
124,124,"@jakob_eichhorn @ELINTNews They’re not openly defying anything. They follow federal laws, and there is no federal law banning abortion.",Pro-choice,0.5722355842590332
125,125,there’s so many things i wanna say about roe v wade but i can’t even put anything into words because it angers me so much,Pro-choice,0.17842863500118256
126,126,"@MayoIsSpicyy Have zero respect for any woman that does not vote on their state to repeal last scotus stay, as male… https://t.co/VJfYAdFoBG",Pro-choice,0.23617440462112427
127,127,EVERYONE should be FURIOUS at the overturn of Roe vs Wade. EVERYONE SHOULD BE ANGRY.,Pro-choice,0.7681058049201965
128,128,@bananagirl925 @ranaltboo abortion is not a political issue. it is simply about human decency. i agree that nobody… https://t.co/2f1434RkLp,Pro-choice,0.6050081849098206
129,129,"@RelentlessYapp @ZaidJilani But it can give you a Dem governor to veto bad GOP-led state legislative laws, or pardo… https://t.co/gIWyUAh8Yh",Pro-choice,0.2858702838420868
130,130,@dramadelinquent My take is abortion should be allowed only under circumstances that are traumatising as rape or if… https://t.co/e5IWtqb7hh,Pro-choice,0.5133017301559448
131,131,Do you know that young ladies are doing it secretly and also getting away with it here while some die in the proces… https://t.co/GkLRqvpth8,Pro-choice,0.22655385732650757
132,132,@BNNBreaking This push wanting to keep abortion says more about what they are not saying now,Pro-life,0.5805416107177734
133,133,Disney was nothing but a Façade.  We’re seeing their true selves.  They stand against parents rights and now stand… https://t.co/N3V8F1PR8N,Pro-life,0.19653204083442688
134,134,"Just heard about Roe V Wade 😔 that’s messed up (I’m single, well dressed, and have a vasectomy btw)",Pro-choice,0.3161163330078125
135,135,https://t.co/2vL1gxc3P3,Pro-choice,0.5442848205566406
136,136,"Trust God, President Joe Biden, trust Abba! The judges that voted to overturn Roe vs Wade, were obeying the voice o… https://t.co/9ArHovcy7f",Pro-life,0.8511296510696411
137,137,This Supreme Court overturning Roe v. Wade have now shown their preference for the version of the Constitution and… https://t.co/8MKZ3bQ7TM,Pro-choice,0.4242813289165497
138,138,"@mtracey No, they ban abortion on demand. In practice you can still get an abortion pretty easily into the 2nd trim… https://t.co/4odUuFeNd9",Pro-choice,0.5392236709594727
139,139,@ErikNervik @fawlty @Timcast There you go. All the headers (even though you won’t comprehend it). You’re wrong here… https://t.co/hH1PKxCOF9,Pro-choice,0.3148323893547058
140,140,okay ik that i often don’t get political on this acc but with the recent events (roe v wade). i’m genuine scared fo… https://t.co/OJVw9I9VgR,Pro-choice,0.15593865513801575
141,141,"@carlycross_ Are you really this lost? Roe vs Wade was bad law doesn't matter if it stood for 50 years, Same as Ple… https://t.co/0aq8CcTG8R",Pro-choice,0.7916423678398132
142,142,@JoJoFromJerz True. I'm thinking that we could help this travesty by : you know how you can pre-psy for a cup of co… https://t.co/s7IEckGvLu,Pro-choice,0.2836119830608368
143,143,@ericswalwell The only reason abortion rights were so low on public voting priority lists was because the public ha… https://t.co/oDxttDFwzY,Pro-choice,0.24978812038898468
144,144,Love the Roe V Wade  decision. Now maybe all you abortionist will move back to your home state and let Texas respect and enjoy life.,Pro-life,0.5091292858123779
145,145,@ananavarro would rid the world of special needs kids by using late term abortions and post birth abortions!!!… https://t.co/cV619omGlm,Pro-life,0.7903710007667542
146,146,"@PerlmanJanine @AshleiKing Lolol so glad somebody finally fact checked me! But you know what, it worked cause @cnn… https://t.co/3tQn0NgkKT",Pro-choice,0.6053219437599182
147,147,When a woman gets an abortion she is showered with love by so many and called “brave” but when a dude doesn’t want… https://t.co/nSfliSBqac,Pro-life,0.7768033742904663
148,148,@CathyPe63220996 @BeverleeMascio2 @RonnyJacksonTX The difference is literally that the baby was born. The fetus in… https://t.co/jqtBpAOub5,Pro-choice,0.6328886151313782
149,149,Still think Trump was the best president?  3 of these people in the majority were appointed by Trump. All of them s… https://t.co/Vnu0BBwt2V,Pro-choice,0.47881999611854553
150,150,"@B52Malmet @Hefner_Online This will void the HIPPA laws. 
HIPPA was based on Roe v. Wade
America is NOT FREE",Pro-choice,0.5343168377876282
151,151,Obama once said it was his #1 priority. Joe Biden promised to codify Roe v Wade as a campaign promise. Why haven't… https://t.co/5oBoLGKB7S,Pro-choice,0.8246424794197083
152,152,every male comedian today is starting their set with “so roe v wade got overturned :/ bummer :/“ like go rot please,Pro-choice,0.2337750792503357
153,153,call me dramatic but I have absolutely no interest in going to arizona right now(or any fucking state restricting a… https://t.co/iLRif9RKZP,Pro-choice,0.1724805235862732
154,154,"This Roe vs. Wade news is completely messed up. I don't have anything clever to say about it. It's just wrong, and I'm livid.",Pro-choice,0.22925753891468048
155,155,"Roe v Wade overturning WILL kill people.

People will murder people that they accidentally got pregnant. 

People w… https://t.co/HoxwNIcBHo",Pro-choice,0.5231812000274658
156,156,"People can no longer afford to LIVE, a woman could get r—ped and would be JAILED if she got an abortion, we’re faci… https://t.co/4nNJqKSa2P",Pro-choice,0.4414375424385071
157,157,"@Kevin5740Arnold @wildflower2101 @selenagomez We are paying for the abortion. And, if we let everyone do their own… https://t.co/qfxGV7a5pu",Pro-life,0.3541671633720398
158,158,"@AerisFelidae You're right and I should definitely make more of an effort there
I think Roe vs Wade has just been s… https://t.co/cXaA2VNL9j",Pro-choice,0.6254725456237793
159,159,@byron_nichols @BNNBreaking @patagonia Stay in your own religious lane and get out of mine with your swill. My reli… https://t.co/FNZEFbeRbo,Pro-choice,0.17837625741958618
160,160,Roe v. Wade has just been overturned – and abortion rights activists from across the world are fighting back. Join… https://t.co/JxTO2IRJEC,Pro-choice,0.6362609267234802
161,161,@lennysperson @boudicca_iceni @TheAmandaGorman My point was that no one should be told what to do with their bodies… https://t.co/wqNUcm2t1q,Pro-choice,0.3341218829154968
162,162,"@colinstone To all the young women out down south, educate yourself about human reproductive system, how it works,… https://t.co/NCwRJfAt8e",Pro-life,0.3296452462673187
163,163,@rachelkayw @ClaudetteGGibs1 Minnesota…everyone always seems to forget Minnesota.  Add it to the the list as it’s l… https://t.co/UesVPyyzRr,Pro-choice,0.46408116817474365
164,164,"@michaelmalice They need more minions. China has 1.4 bi and incentives 3 kids per family now... So, no abortion in… https://t.co/yxkktzBIl4",Pro-choice,0.7540534138679504
165,165,@TomFitton @BarackObama How many decades of precedence preceded the unconstitutional ruling for Roe vs Wade?,Pro-life,0.7656078338623047
166,166,"@Robbyboy_4life @Reddrik @EitoDorito @markiplier Same argument that civil war apologists give about ""state rights""… https://t.co/x8JHM0d7ar",Pro-choice,0.38780730962753296
167,167,If you're a woman complaining about this roe v Wade decision. And you voted Republican for Trump in 2016 then this is your fault.,Pro-choice,0.2182212620973587
168,168,"Republicans made the last mistake they will ever make in any position of federal authority ever again.

We are goin… https://t.co/w7JVnQ1TeB",Pro-choice,0.4948412775993347
169,169,going around saying women should close their legs as if men have ever shown MORE self restraint ever in history ove… https://t.co/nn9rOdYOt1,Pro-choice,0.5397226214408875
170,170,"@loooolooo @shitemanes @christo56849068 @TyTheFisch who decides if it is appropriate legal route?
Again, with this… https://t.co/Z76qCuPbDr",Pro-choice,0.3411962687969208
171,171,I know that it's a scary time rn but I'm begging yall to check local news sources before saying a state doesnt have… https://t.co/zqPQlat2eu,Pro-choice,0.17324022948741913
172,172,@TimG90730962 @nonyabi88117386 @username198653 @ckh82003 @Cyderisdead @MostlyPeacefull @GovWhitmer You only have th… https://t.co/9JBOPSE5OU,Pro-choice,0.47943994402885437
173,173,"We live in a world where the man can abandon the mother of his child. AND then they make abortions illegal!
Basical… https://t.co/LgF6UsNDst",Pro-choice,0.40059801936149597
174,174,"@thunderrosa22 You know birth control exists... right? Moral of the story is ""MAKE BETTER VAGINAL DECISIONS and YOU… https://t.co/YM7YQv6fgK",Pro-life,0.45614513754844666
175,175,@RinainDC @SenatorBigBird So what are you going to do to ensure that Roe vs Wade is codified as law?,Pro-choice,0.48728957772254944
176,176,"if you are in any way pro-choice or believe that roe v wade being overturned is a bad thing, my work is not for you… https://t.co/x85CpBMqp4",Pro-life,0.8429665565490723
177,177,"Supreme Court overturns Roe v. Wade, ending right to abortion upheld for decades!!!!! #RoeVsWade… https://t.co/dAUkOVol1a",Pro-choice,0.36941948533058167
178,178,"I’ve paid out over a half million dollars in child support. 🐺🤦🏻‍♂️
And I still love all my kids.

I don’t support l… https://t.co/4hvVt6DeEw",Pro-life,0.6420838832855225
179,179,@EmmanuelMacron I don't agree with you Mr President really if women don't want to have children they can use contra… https://t.co/EXE62hpefT,Pro-life,0.6944946050643921
180,180,"NBCNews: A Florida man was taken into custody after he scaled the Frederick Douglass Memorial Bridge in Washington,… https://t.co/zIG5cIHRdy",Pro-choice,0.24862147867679596
181,181,"@therealcliffyb We already know the other side is willing to cheat, attack voting rights, accept foreign bribes, so… https://t.co/UJIAfM55gi",Pro-choice,0.2097754180431366
182,182,@GerryBorn Dallas is out of control! They had a speaker say that they have to protect the right of abortion for tra… https://t.co/Dra9DGI11A,Pro-life,0.3848245441913605
183,183,@TristanSnell The constitution was written in the 1780s. It doesn’t mention a lot of things. Abortion was legal when it was written,Pro-choice,0.496040940284729
184,184,stav not being on cum town roe v wade getting overturned work sucks there is literally zero coming up milhouse it’s over,Pro-choice,0.49067094922065735
185,185,"Now that there are morning after pills, isn't abortion sort of antiquated anyway?",Pro-life,0.6195430755615234
